lab,method,s_mean,s_sd,sample
1,LSC,2660,110,B
2,GPC,3120,35,B
3,GPC,2835,15,B
4,AMS,2838,35,B
5,AMS,2759,39,B
5,AMS,2771,26,B
6,AMS,2840,15,B
7,LSC,2955,50,B
8,AMS,2855,30,B
9,LSC,2850,37,B
10,AMS,2847,35,B
11,LSC,2550,70,B
12,AMS,2885,40,B
13,AMS,2786,26,B
13,AMS,2817,29,B
14,LSC,2690,80,B
15,GPC,2771,28,B
16,AMS,2820,20,B
16,AMS,2820,20,B
17,LSC,2506,149,B
18,LSC,2800,120,B
19,LSC,3979,81,B
20,GPC,2781,30,B
21,AMS,2834,35,B
22,AMS,2819,28,B
22,AMS,2842,28,B
23,AMS,2819,34,B
24,LSC,2790,56,B
25,AMS,2790,20,B
25,AMS,2805,15,B
25,AMS,2820,20,B
25,AMS,2820,15,B
25,AMS,2840,15,B
26,AMS,2777,32,B
27,AMS,2835,40,B
28,LSC,2855,65,B
29,LSC,2700,200,B
30,LSC,2770,85,B
31,LSC,2750,40,B
32,LSC,2620,60,B
33,LSC,2761,36,B
34,GPC,2710,30,B
35,AMS,2850,25,B
36,LSC,2750,40,B
37,AMS,2730,30,B
37,AMS,2780,35,B
37,AMS,2790,30,B
37,AMS,2840,35,B
37,AMS,2890,50,B
38,LSC,2620,70,B
39,AMS,2540,45,B
40,LSC,2850,70,B
41,GPC,2710,160,B
41,GPC,2720,40,B
41,GPC,2730,180,B
41,GPC,2750,100,B
41,GPC,2780,70,B
41,GPC,2800,170,B
41,GPC,2910,50,B
42,GPC,2815,45,B
43,AMS,2768,44,B
43,AMS,2830,60,B
43,AMS,2834,35,B
43,AMS,2836,47,B
44,AMS,2802,33,B
45,AMS,2752,18,B
46,AMS,2840,25,B
46,AMS,2850,25,B
46,AMS,2855,25,B
46,AMS,2860,25,B
47,AMS,2835,35,B
48,LSC,2460,50,B
49,LSC,3490,50,B
50,GPC,2810,30,B
51,LSC,2570,80,B
52,LSC,3296,281,B
53,GPC,2840,25,B
54,GPC,2799,33,B
55,AMS,2800,30,B
56,LSC,2855,32,B
57,AMS,2811,40,B
58,AMS,2805,27,B
59,LSC,2890,70,B
60,AMS,2820,40,B
61,LSC,2850,75,B
62,AMS,2795,25,B
62,AMS,2815,20,B
63,AMS,2652,44,B
63,AMS,2721,44,B
64,AMS,2760,35,B
65,LSC,2857,25,B
66,LSC,2795,30,B
66,AMS,2855,40,B
67,LSC,2851,49,B
67,GPC,3125,71,B
69,LSC,2860,70,B
69,LSC,2980,60,B
70,AMS,2770,40,B
70,AMS,2860,30,B
70,AMS,2880,30,B
71,LSC,2760,60,B
72,LSC,2590,80,B
73,AMS,2770,40,B
74,LSC,3070,60,B
75,AMS,2782,28,B
76,AMS,2815,30,B
78,LSC,2825,35,B
79,AMS,2824,38,B
80,LSC,2820,50,B
1,LSC,3060,110,D
2,GPC,3120,35,D
3,GPC,2842,15,D
4,AMS,2835,35,D
5,AMS,2809,24,D
6,AMS,2840,20,D
7,LSC,2875,45,D
8,AMS,2870,30,D
9,LSC,2852,37,D
10,AMS,2842,36,D
11,LSC,2660,60,D
12,AMS,3000,40,D
13,AMS,2805,33,D
13,AMS,2826,30,D
14,LSC,2650,60,D
15,GPC,2819,29,D
16,AMS,2850,20,D
16,AMS,2850,20,D
17,LSC,2928,101,D
18,LSC,3887,170,D
19,LSC,3740,57,D
20,GPC,2822,22,D
21,AMS,2859,28,D
22,AMS,2851,28,D
22,AMS,2894,26,D
23,AMS,2842,34,D
24,LSC,2867,50,D
25,AMS,2825,20,D
25,AMS,2845,15,D
25,AMS,2850,15,D
25,AMS,2855,20,D
25,AMS,2875,20,D
26,AMS,2866,32,D
27,AMS,2850,40,D
28,LSC,2595,50,D
29,LSC,2710,140,D
30,LSC,2760,60,D
31,LSC,2820,40,D
32,LSC,2720,60,D
33,LSC,2784,35,D
34,GPC,2730,40,D
35,AMS,2900,25,D
36,LSC,2815,40,D
37,AMS,2580,30,D
37,AMS,2730,30,D
37,AMS,2800,35,D
37,AMS,2950,30,D
38,LSC,2600,84,D
39,AMS,2702,35,D
40,LSC,2700,70,D
41,GPC,2700,60,D
41,GPC,2860,35,D
41,GPC,3010,45,D
42,GPC,2770,45,D
43,AMS,2820,55,D
43,AMS,2862,45,D
43,AMS,2889,41,D
44,AMS,2804,32,D
