Site,lID,Mus,SEs,Notes,Event,Method,Outlier
Abu Hureyra,UCIAMS-105429,11070,40,Charcoal,YDB,0,1
Arlington Canyon,UCIAMS-47239,11105,30,Charcoal,YDB,0,1
Arlington Canyon,UCIAMS-36308,11095,25,Wood,YDB,0,1
Arlington Canyon,UCIAMS-42816,11095,25,Wood,YDB,0,1
Arlington Canyon,UCIAMS-36307,11070,25,Wood,YDB,0,1
Arlington Canyon,UCIAMS-36961,11440,90,Carbon elongate,YDB,0,0
Arlington Canyon,UCIAMS-36960,11185,30,Carbon spherule,YDB,0,0
Arlington Canyon,UCIAMS-36962,11110,35,Wood,YDB,0,1
Arlington Canyon,UCIAMS-36959,11075,30,Glassy carbon,YDB,0,0
Arlington Canyon,Beta-161032,10860,70,Charcoal,YDB,0,1
Arlington Canyon,UCIAMS-36306,11375,25,Wood,YDB,0,1
Arlington Canyon,UCIAMS-36305,11235,25,Wood,YDB,0,1
Arlington Canyon,UCIAMS-36304,11020,25,Wood,YDB,0,1
Aalsterhut,GrA-49524,10840,75,Charcoal,YDB,0,1
Aalsterhut,GrA-49509,10865,55,Charcoal,YDB,0,1
Aalsterhut,GrA-49515,11020,75,Charcoal,YDB,0,1
Big Eddy,AA-27486,11900,80,Charcoal,YDB,0,1
Big Eddy,AA-26654,10710,85,Charcoal,YDB,0,1
Bull Creek,Beta-184854,11070,60,Sed. Organics,YDB,0,0
Murray Springs,A-1045,10760,100,Charcoal,YDB,1,1
Murray Springs,TX-1045,10260,140,Humates,YDB,1,0
Sheridan Cave,UCI-38249,10915,30,Bone Clovis point,YDB,0,0
Sheridan Cave,Beta-127909,10840,80,Wood charcoal,YDB,0,1
Sheridan Cave,Beta-127910,10960,60,Wood charcoal,YDB,0,1
Lake Hind,UCIAMS-29317,10610,25,Charcoal,YDB,0,1
Lindenmeier,I-141,10780,135,Charcoal,YDB,1,1
Lingen,Beta-369246,10870,40,Charcoal,YDB,0,1
Talega,Beta-196150,11070,50,Charcoal,YDB,0,1
Topper,AA-100294,10958,65,Charcoal,YDB,0,1
Santa Maira,Beta-75225,11020,140,charcoal,YDB,0,1
Thelenberg,HD-?,10950,190,Charcoal,Laacher See,1,1
Kruft,HD-18648,11037,27,Populus 1 rings 31-40,Laacher See,1,1
Brohl Valley,KN-3800,11240,100,Populus,Laacher See,1,1
Brohl Valley,KN-3801,11260,95,Populus,Laacher See,1,1
Brohl Valley,KN-3802,11280,100,Populus,Laacher See,1,1
Brohl Valley,KN-3803,11510,90,Populus,Laacher See,1,1
Glees,GrN-?,10680,85,Charcoal,Laacher See,1,1
Nette Valley,W-525,10800,300,Charcoal,Laacher See,1,1
Nette Valley,?-?,10800,95,Charcoal,Laacher See,1,1
Tonisstein,GrN-?,11025,90,Charcoal,Laacher See,1,1
Kruft,HD-19098,11063,30,Populus 9 rings 1-20,Laacher See,1,1
Kruft,HD-18438,11065,22,Populus 8 outer rings,Laacher See,1,1
Brohl Valley,HV-11774,11075,185,plant remains,Laacher See,1,0
Brohl Valley,?-?,11085,90,Charcoal,Laacher See,1,1
Brohl Valley,HD-17101,11121,28,"Tree 5b, ca. 50 rings",Laacher See,1,1
Tonnisstein,W-528,11150,200,Charcoal,Laacher See,1,1
Brohl Valley,HD-17100,11206,20,"Tree 1a, ca. 50 rings",Laacher See,1,1
Brohl Valley,HD-17145,11223,22,"Tree 3a, ca. 50 rings",Laacher See,1,1
Brohl Valley,HD-17900,11277,26,"Tree 1/4, rings 1-38",Laacher See,1,1
